ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
1,K001,15K001,PS 1(BS),K001,309 47 STREET,K,15,1151,,1,PS 1(BS),0,2,1,1,0,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
2,K002,17K002,Parkside Preparatory Academy,K002,655 PARKSIDE AVENUE,K,17,488,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
3,K002,75K141,P141(BS),K141,655 PARKSIDE AVENUE,K,17,350,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
4,K002,84K704,EXPLORE CHARTER SCHOOL(BS),K704,655 PARKSIDE AVENUE,K,17,529,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
5,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17,1367,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,1,3,3,3,1,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
6,K003,13K003,PS 3(BROOKLYN),K003,50 JEFFERSON AVENUE,K,13,336,,1,PS 3(BROOKLYN),0,0,2,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
7,K005,16K005,PS 5(BROOKLYN),K005,820 HANCOCK STREET,K,16,191,,1,PS 5(BROOKLYN),1,1,0,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
8,K006,17K006,PS 6(BROOKLYN),K006,43 SNYDER AVENUE,K,17,681,,1,PS 6(BROOKLYN),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
9,K007,19K007,PS 7(BROOKLYN),K007,858 JAMAICA AVENUE,K,19,851,,1,PS 7(BROOKLYN),0,1,1,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
10,K008,13K008,PS 8(BROOKLYN),K008,37 HICKS STREET,K,13,907,,1,PS 8(BROOKLYN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
11,K009,13K009,P.S. 009 Teunis G. Bergen,K009,80 UNDERHILL AVENUE,K,13,773,,1,P.S. 009 Teunis G. Bergen,0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
12,K010,15K010,PS 10(BS),K010,511 SEVENTH AVENUE,K,15,921,,1,PS 10(BS),0,2,1,2,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
13,K011,13K011,PS 11(BN),K011,419 WAVERLY AVE,K,13,813,,1,PS 11(BN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
14,K012,17K012,Dr. Jacqueline Peek-Davis School,K012,430 HOWARD AVENUE,K,23,256,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
15,K012,17K484,RONALD EDMONDS LEARNING CENTER II(BROOKLYN),K484,430 Howard Ave,K,17,151,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
16,K012,,430 HOWARD AVENUE CONSOLIDATED LOCATION,,430 HOWARD AVENUE,K,23,407,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,0,0,3,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
17,K013,19K013,P.S. 013 Roberto Clemente,K013,557 PENNSYLVANIA AVENUE,K,19,460,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
18,K013,84K742,ACHIEVEMENT FIRST EAST NY CHARTER SCHOOL(BN),K358,557 PENNSYLVANIA AVENUE,K,19,494,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
19,K013,,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,557 PENNSYLVANIA AVENUE,K,19,954,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,0,0,2,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
20,K014,22K014,IS 14(BS),K014,2424 BATCHELDER STREET,K,22,551,,1,IS 14(BS),0,3,1,1,1,4C,501-750,0.26,1.13,2.41,0.66,0.57
21,K015,15K015,PS 15(BROOKLYN),K015,71 SULLIVAN STREET,K,15,416,,1,PS 15(BROOKLYN),1,1,2,2,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
22,K016,14K016,P.S. 016 Leonard Dunkly,K016,157 WILSON STREET,K,14,204,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
23,K016,84K355,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL(BROOKLYN),K355,157 WILSON STREET,K,14,315,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
24,K016,,157 WILSON STREET CONSOLIDATED LOCATION,,157 WILSON STREET,K,14,519,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
25,K017,14K017,PS 17(BROOKLYN),K017,208 NORTH 5 STREET,K,14,259,,1,PS 17(BROOKLYN),1,0,1,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
26,K018,14K018,PS 18(BROOKLYN),K018,101 MAUJER STREET,K,14,165,,1,PS 18(BROOKLYN),0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
27,K019,14K019,PS 19(BROOKLYN),K019,325 SOUTH 3 STREET,K,14,SCHOOL CLOSED,,1,PS 19(BROOKLYN),0,2,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,K020,13K020,P.S. 020 Clinton Hill,K020,225 ADELPHI STREET,K,13,382,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
29,K020,13K492,Academy of Arts and Letters,K492,225 Adelphi St,K,13,516,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
30,K020,,225 ADELPHI STREET CONSOLIDATED LOCATION,,225 ADELPHI STREET,K,13,898,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,0,1,2,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
31,K021,16K021,PS 21(BROOKLYN),K021,180 CHAUNCEY STREET,K,16,517,,1,PS 21(BROOKLYN),0,0,3,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
32,K022,17K022,Brooklyn Arts and Science Elementary School,K705,443 St. Marks Avenue,K,17,360,443 ST. MARKS AVENUE CONSOLIDATED LOCATION,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
33,K022,84K333,Explore Exceed Charter School ,K333,443 ST. MARKS AVENUE,K,84,487,443 ST. MARKS AVENUE CONSOLIDATED LOCATION,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
34,K022,,443 ST MARKS AVENUE CONSOLIDATED LOCATION,,443 ST. MARKS AVENUE,K,17,847,443 ST MARKS AVENUE CONSOLIDATED LOCATION,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,0,2,0,2,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
35,K023,14K023,P.S. 023 Carter G. Woodson,K023,545 WILLOUGHBY AVENUE,K,14,255,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
36,K023,84K701,Brooklyn Charter School,K701,545 WILLOUGHBY AVENUE,K,14,198,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
37,K023,,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,,545 WILLOUGHBY AVENUE,K,14,453,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
38,K024,15K024,PS 24(BROOKLYN),K024,427 38TH STREET,K,15,619,,1,PS 24(BROOKLYN),0,1,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
39,K025,16K025,PS 25(BROOKLYN),K025,787 LAFAYETTE AVENUE,K,16,90,,1,PS 25(BROOKLYN),0,0,2,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
40,K026,16K026,P.S. 026 Jesse Owens,K026,1014 LAFAYETTE AVENUE,K,16,202,,1,P.S. 026 Jesse Owens,0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
41,K027,15K027,AGNES HUMPHREY SCHOOL FOR LEADERSHIP(BS),K676,27 HUNTINGTON STREET,K,15,SCHOOL CLOSED,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Agnes Humphrey School for Leadership|27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,K027,15K676,RED HOOK NEIGHBORHOOD SCHOOL(BROOKLYN),K676,27 HUNTINGTON STREET,K,15,173,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Agnes Humphrey School for Leadership|27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
43,K027,,27 HUNTINGTON STREET CONSOLIDATED LOCATION,,27 HUNTINGTON STREET,K,15,173,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Red Hook Neighborhood School|Agnes Humphrey School for Leadership|27 HUNTINGTON STREET CONSOLIDATED LOCATION,0,3,7,3,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
44,K028,16K028,PS 28(BROOKLYN),K028,1001 HERKIMER STREET,K,16,127,,1,PS 28(BROOKLYN),0,0,1,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
45,K029,15K029,PS 29(BROOKLYN),K029,425 HENRY STREET,K,15,867,,1,PS 29(BROOKLYN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
46,K031,14K031,PS 31(BROOKLYN),K031,75 MESEROLE AVENUE,K,14,505,,1,PS 31(BROOKLYN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
47,K032,15K032,PS 32(BROOKLYN),K032,317 HOYT STREET,K,15,499,,1,PS 32(BROOKLYN),0,0,5,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
48,K033,75K368,P368(BN) ,K368,70 TOMPKINS AVENUE,K,14,262,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,2,  P.S. 368|  Success Academy Charter School - Bed-Stuy 1| 70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
49,K033,84K367,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1(BN),K367,70 TOMPKINS AVENUE,K,14,662,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,2,  P.S. 368|  Success Academy Charter School - Bed-Stuy 1| 70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
50,K033,,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,,70 TOMPKINS AVENUE,K,14,924,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,2,  P.S. 368|  Success Academy Charter School - Bed-Stuy 1| 70 TOMPKINS AVENUE CONSOLIDATED LOCATION,0,0,3,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
51,K034,14K034,PS 34(BROOKLYN),K034,131 NORMAN AVENUE,K,14,453,,1,PS 34(BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
52,K035,16K035,M.S. 035 Stephen Decatur,K035,272 MCDONOUGH STREET,K,16,241,272 MCDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
53,K035,16K628,BROOKLYN BROWNSTONE SCHOOL(BN),K628,272 McDonough Street,K,16,223,272 MCDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
54,K035,,272 MACDONOUGH STREET CONSOLIDATED LOCATION,,272 MACDONOUGH STREET,K,16,464,272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,0,1,3,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
55,K038,15K038,PS 38(BROOKLYN),K038,450 PACIFIC STREET,K,15,472,,1,PS 38(BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
56,K039,15K039,PS 39(BROOKLYN),K039,417 SIXTH AVENUE,K,15,415,,1,PS 39(BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
57,K040,16K040,PS 40,K040,265 RALPH AVENUE,K,16,293,265 RALPH AVENUE CONSOLIDATED LOCATION,2,PS 40 |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
58,K040,16K594,GOTHAM PROFESSIONAL ARTS ACADEMY(BN),K594,265 Ralph Ave,K,16,133,265 RALPH AVENUE CONSOLIDATED LOCATION,2,PS 40 |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
59,K040,,265 RALPH AVENUE CONSOLIDATED LOCATION,,265 RALPH AVENUE,K,16,426,265 RALPH AVENUE CONSOLIDATED LOCATION,2,PS 40 |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,0,1,2,0,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
60,K041,23K041,PS 41(BROOKLYN),K041,411 THATFORD AVENUE,K,23,470,,1,PS 41(BROOKLYN),0,3,1,1,2,3C,251-500,0.25,1.03,2.22,0.55,0.58
61,K043,21K098,IS/JHS 98(BS),K098,1401 EMMONS AVENUE,K,21,1521,,1,IS/JHS 98(BS),0,1,1,1,0,8C,1501-1750,0.45,2.95,7.14,1.48,1.6
62,K044,13K044,PS 44(BROOKLYN),K044,432 MONROE STREET,K,13,134,,1,PS 44(BROOKLYN),1,4,4,2,3,2C,1-250,0.25,0.88,1.69,0.57,0.45
63,K045,32K045,PS 45(BROOKLYN),K045,84 SCHAEFFER STREET,K,32,621,,1,PS 45(BROOKLYN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
64,K046,13K046,PS 46(BROOKLYN),K046,100 CLERMONT AVENUE,K,13,238,,1,PS 46(BROOKLYN),0,2,0,2,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
65,K048,20K048,PS 48(BROOKLYN),K048,6015 18 AVENUE,K,20,583,,1,PS 48(BROOKLYN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
66,K049,14K049,IS 49(BN),K449,223 GRAHAM AVENUE,K,14,SCHOOL CLOSED,223 GRAHAM AVENUE CONSOLIDATED LOCATION,2,IS 49| Lyons Community School| 223 Graham Avenue Consolidated Location,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67,K049,14K586,LYONS COMMUNITY SCHOOL(BN),K586,223 GRAHAM AVENUE,K,14,421,223 GRAHAM AVENUE CONSOLIDATED LOCATION,2,IS 49| Lyons Community School| 223 Graham Avenue Consolidated Location,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
68,K049,,223 GRAHAM AVENUE CONSOLIDATED LOCATION,,223 GRAHAM AVENUE,K,14,421,223 GRAHAM AVENUE CONSOLIDATED LOCATION,2,IS 49| Lyons Community School| 223 Graham Avenue Consolidated Location,3,7,10,4,5,3C,251-500,0.25,1.03,2.22,0.55,0.58
69,K050,14K050,JHS 50(BN),K050,183 SOUTH 3RD STREET,K,14,290,,1,JHS 50(BN),1,0,3,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
70,K051,15K051,MS 51(BS),K051,350 FIFTH AVENUE,K,15,1130,,1,MS 51(BS),0,6,1,5,1,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
71,K052,22K052,PS 52(BROOKLYN),K052,2675 EAST 29 STREET,K,22,757,,1,PS 52(BROOKLYN),1,1,0,2,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
72,K054,13K054,PS 54(BROOKLYN),K054,195 SANDFORD STREET,K,13,180,,1,PS 54(BROOKLYN),0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
73,K055,23K493,Brooklyn Collegiate: A College Board School,K493,2021 BERGEN STREET,K,23,196,2021 BERGEN STREET CONSOLIDATED LOCATION,2,Brooklyn Collegiate: A College Board School l Achievement First Brownsville Charter School l 2021 BERGEN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
74,K055,84K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL(BN),K626,2021 Bergen Street,K,23,981,2021 BERGEN STREET CONSOLIDATED LOCATION,2,Brooklyn Collegiate: A College Board School l Achievement First Brownsville Charter School l 2021 BERGEN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
75,K055,,2021 BERGEN STREET CONSOLIDATED LOCATION,,2021 Bergen Street,K,23,1177,2021 BERGEN STREET CONSOLIDATED LOCATION,2,Brooklyn Collegiate: A College Board School l Achievement First Brownsville Charter School l 2021 BERGEN STREET CONSOLIDATED LOCATION,0,4,6,1,1,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
76,K056,13K056,PS 56(BROOKLYN),K056,170 GATES AVENUE,K,13,201,,1,PS 56(BROOKLYN),0,1,0,1,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
77,K057,16K057,MS 57(BN),K057,125 STUYVESANT AVENUE,K,16,203,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,2,MS 57  | The Brooklyn Academy of Global Finance |  125 STUYVESANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
78,K057,16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,K688,125 STUYVESANT AVENUE,K,16,103,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,2,MS 57  | The Brooklyn Academy of Global Finance |  125 STUYVESANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
79,K057,,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,,125 STUYVESANT AVENUE,K,16,306,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,2,MS 57  |  IS 385  | The Brooklyn Academy of Global Finance |  125 STUYVESANT AVENUE CONSOLIDATED LOCATION,2,1,12,2,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
80,K058,15K058,PS 58(BROOKLYN),K058,330 SMITH STREET,K,15,950,,1,PS 58(BROOKLYN),1,0,0,1,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
81,K059,14K059,P.S. 059 William Floyd,K059,211 THROOP AVENUE,K,14,292,211 THROOP AVENUE CONSOLIDATED LOCATION,2,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
82,K059,84K125,SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 2(BN),K125,211 THROOP AVENUE,K,14,311,211 THROOP AVENUE CONSOLIDATED LOCATION,2,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
83,K059,,211 THROOP AVENUE CONSOLIDATED LOCATION,,211 THROOP AVENUE,K,14,603,211 THROOP AVENUE CONSOLIDATED LOCATION,2,P.S. 059 William Floyd |  Success Academy Charter School - Bed-Stuy 2 |  211 THROOP AVENUE CONSOLIDATED LOCATION,0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
84,K061,17K061,MS 61(BS),K061,400 EMPIRE BOULEVARD,K,17,731,,1,MS 61(BS),1,2,1,2,1,4C,501-750,0.26,1.13,2.41,0.66,0.57
85,K062,20K062,IS 62(BS),K062,700 CORTELYOU ROAD,K,20,1216,,1,IS 62(BS),1,2,0,1,2,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
86,K066,18K066,PS 66 (BROOKLYN),K066,845 EAST 96 ST,K,18,795,,1,PS 66 (BROOKLYN),1,1,4,1,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
87,K067,13K067,PS 67(BROOKLYN),K067,51 SAINT EDWARDS STREET,K,13,204,,1,PS 67(BROOKLYN),0,1,3,1,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
88,K068,18K068,IS 68(BS),K068,956 EAST 82 STREET,K,18,354,,1,IS 68(BS),0,4,2,1,2,3C,251-500,0.25,1.03,2.22,0.55,0.58
89,K069,20K069,PS 69 (BROOKLYN),K069,6302 9TH AVENUE,K,20,787,,1,PS 69 (BROOKLYN),0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
90,K071,14K071,JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),K071,215 HEYWARD STREET,K,14,464,,1,JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),2,0,5,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
91,K072,19K072,PS 72(BROOKLYN),K072,605 SHEPARD AVENUE,K,19,SCHOOL CLOSED,605 SHEPARD AVENUE CONSOLIDATED LOCATION,3,PS 72| East New York Elementary School of Excellence |  East New York Middle School of Excellence |  605 SHEPHERD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
92,K072,19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE(BN),K677,605 Shepherd Ave,K,19,490,605 SHEPARD AVENUE CONSOLIDATED LOCATION,3,PS 72| East New York Elementary School of Excellence |  East New York Middle School of Excellence |  605 SHEPHERD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
93,K072,19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE(BN),K678,605 Shepherd Ave,K,19,264,605 SHEPARD AVENUE CONSOLIDATED LOCATION,3,PS 72| East New York Elementary School of Excellence |  East New York Middle School of Excellence |  605 SHEPHERD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
94,K072,,605 SHEPHERD AVENUE CONSOLIDATED LOCATION,,605 Shepherd Ave,K,19,754,605 SHEPHERD AVENUE CONSOLIDATED LOCATION,3,PS 72| East New York Elementary School of Excellence |  East New York Middle School of Excellence |  605 SHEPHERD AVENUE CONSOLIDATED LOCATION,1,0,2,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
95,K073,23K073,PS 73(BROOKLYN),K073,251 MCDOUGAL STREET,K,23,SCHOOL CLOSED,,1,PS 73(BROOKLYN),0,3,2,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
96,K075,32K075,PS 75(BROOKLYN),K075,95 GROVE STREET,K,32,327,,1,PS 75(BROOKLYN),0,1,1,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
