ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
1825,X400,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES(XE),X297,1100 BOSTON ROAD,X,9,309,1100 BOSTON ROAD CONSOLIDATED LOCATION,4,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1826,X400,09X403,BRONX INTERNATIONAL HS(XE),X403,1110 BOSTON ROAD,X,9,357,1110 BOSTON ROAD CONSOLIDATED LOCATION,4,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1827,X400,09X404,SCHOOL FOR EXCELLENCE(BRONX) ,X404,1100 BOSTON ROAD,X,9,308,1100 BOSTON ROAD CONSOLIDATED LOCATION,4,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1828,X400,09X543,HS FOR VIOLIN & DANCE(XE) ,X543,1100 BOSTON ROAD,X,9,200,1100 BOSTON ROAD CONSOLIDATED LOCATION,4,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
1829,X400,,1100 BOSTON ROAD CONSOLIDATED LOCATION,,1100 BOSTON ROAD,X,9,1174,1100 BOSTON ROAD CONSOLIDATED LOCATION,4,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,0,3,15,1,1,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
1830,X401,79X480,BRONX REGIONAL HS(XE) ,X480,1010 REV. POLITE AVENUE,X,79,175,,1,BRONX REGIONAL HS(XE) ,1,7,9,4,2,2C,1-250,0.25,0.88,1.69,0.57,0.45
1831,X405,08X293,RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER AND TECHNOLOGY(BRONX) ,X293,3000 EAST TREMONT AVE,X,8,384,3000 EAST TREMONT AVE CONSOLIDATED LOCATION,6,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1832,X405,08X320,PELHAM LAB HIGH SCHOOL (XE),X320,3000 EAST TREMONT AVENUE,X,8,375,3000 EAST TREMONT AVE CONSOLIDATED LOCATION,6,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1833,X405,08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL (XE),X348,3000 EAST TREMONT AVENUE,X,8,295,3000 EAST TREMONT AVE CONSOLIDATED LOCATION,6,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1834,X405,08X349,BRONX RIVER HIGH SCHOOL (XE),X349,3000 EAST TREMONT AVENUE,X,8,347,3000 EAST TREMONT AVE CONSOLIDATED LOCATION,6,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1835,X405,08X405,HERBERT H LEHMAN HS(XE) ,X405,3000 EAST TREMONT AVENUE,X,8,600,3000 EAST TREMONT AVE CONSOLIDATED LOCATION,6,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
1836,X405,08X558,WESTCHESTER SQUARE ACADEMY (XE),X558,3000 EAST TREMONT AVENUE,X,8,474,3000 EAST TREMONT AVE CONSOLIDATED LOCATION,6,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1837,X405,,3000 EAST TREMONT AVE CONSOLIDATED LOCATION,,3000 EAST TREMONT AVENUE,X,8,2475,3000 EAST TREMONT AVE CONSOLIDATED LOCATION,6,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,4,18,55,13,5,10C,2001-2500,1.21,7.43,22.93,3.29,4.29
1838,X410,09X227,BRONX COLLEGIATE ACADEMY(XW)OLD BRONX EXPEDITIONARY LEARNING HS,X227,240 EAST 172 STREET,X,9,307,240 EAST 172 STREET CONSOLIDATED LOCATION,6,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Claremont International HS|Bronx High School of Business |Bronx High School for Medical Science |240 EAST 172 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1839,X410,09X329,DREAMYARD PREPARATORY SCHOOL(XW),X329,240 EAST 172 STREET,X,9,209,240 EAST 172 STREET CONSOLIDATED LOCATION,6,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Claremont International HS|Bronx High School of Business |Bronx High School for Medical Science |240 EAST 172 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
1840,X410,09X350,NEW DIRECTIONS SECONDARY SCHOOL,X350,240 EAST 172 STREET,X,9,212,240 EAST 172 STREET CONSOLIDATED LOCATION,6,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Claremont International HS|Bronx High School of Business |Bronx High School for Medical Science |240 EAST 172 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
1841,X410,09X564,Claremont International HS,X564,240 EAST 172 STREET,X,9,295,240 EAST 172 STREET CONSOLIDATED LOCATION,6,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Claremont International HS|Bronx High School of Business |Bronx High School for Medical Science |240 EAST 172 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1842,X410,09X412,BRONX HS OF BUSINESS(XW),X412,240 EAST 172 STREET,X,9,214,240 EAST 172 STREET CONSOLIDATED LOCATION,6,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Claremont International HS|Bronx High School of Business |Bronx High School for Medical Science |240 EAST 172 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
1843,X410,09X413,BRONX HS FOR MEDICAL SCIENCE(XW),X413,240 EAST 172 STREET,X,9,364,240 EAST 172 STREET CONSOLIDATED LOCATION,6,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Claremont International HS|Bronx High School of Business |Bronx High School for Medical Science |240 EAST 172 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1844,X410,,240 EAST 172 STREET CONSOLIDATED LOCATION,,240 EAST 172 STREET,X,9,1306,240 EAST 172 STREET CONSOLIDATED LOCATION,6,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Claremont International HS|Bronx High School of Business |Bronx High School for Medical Science |240 EAST 172 STREET CONSOLIDATED LOCATION,3,9,32,2,10,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
1845,X415,11X288,COLLEGIATE INSTITUTE FOR MATH & SCIENCE(XE) ,X288,925 ASTOR AVENUE,X,11,465,925 ASTOR AVENUE CONSOLIDATED LOCATION,7,Collegiate Institute for Math and Science|Astor Collegiate Academy|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|Christopher Columbus GED|Christopher Columbus YABC|925 ASTOR AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1846,X415,11X299,ASTOR COLLEGIATE ACADEMY(XE),X299,925 ASTOR AVENUE,X,11,398,925 ASTOR AVENUE CONSOLIDATED LOCATION,7,Collegiate Institute for Math and Science|Astor Collegiate Academy|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|Christopher Columbus GED|Christopher Columbus YABC|925 ASTOR AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1847,X415,11X508,BRONXDALE HS(XE),X508,925 ASTOR AVENUE,X,11,349,925 ASTOR AVENUE CONSOLIDATED LOCATION,7,Collegiate Institute for Math and Science|Astor Collegiate Academy|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|Christopher Columbus GED|Christopher Columbus YABC|925 ASTOR AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1848,X415,11X509,HS FOR LANGUAGE & INNOVATION(XE),X509,925 ASTOR AVENUE,X,11,281,925 ASTOR AVENUE CONSOLIDATED LOCATION,7,Collegiate Institute for Math and Science|Astor Collegiate Academy|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|Christopher Columbus GED|Christopher Columbus YABC|925 ASTOR AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1849,X415,11X542,PELHAM PREPARATORY ACADEMY(XE),X542,925 ASTOR AVENUE,X,11,387,925 ASTOR AVENUE CONSOLIDATED LOCATION,7,Collegiate Institute for Math and Science|Astor Collegiate Academy|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|Christopher Columbus GED|Christopher Columbus YABC|925 ASTOR AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1850,X415,72X416,CHRISTOPHER COLUMBUS HS GED(XE),X416,925 ASTOR AVENUE,X,72,GED PROGRAM,925 ASTOR AVENUE CONSOLIDATED LOCATION,7,Collegiate Institute for Math and Science|Astor Collegiate Academy|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|Christopher Columbus GED|Christopher Columbus YABC|925 ASTOR AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1851,X415,11X417,CHRISTOPHER COLUMBUS HS YABC,X417,925 ASTOR AVENUE,X,11,94,925 ASTOR AVENUE CONSOLIDATED LOCATION,7,Collegiate Institute for Math and Science|Astor Collegiate Academy|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|Christopher Columbus GED|Christopher Columbus YABC|925 ASTOR AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
1852,X415,,925 ASTOR AVENUE CONSOLIDATED LOCATION,,925 ASTOR AVENUE,X,11,1974,925 ASTOR AVENUE CONSOLIDATED LOCATION,7,Collegiate Institute for Math and Science|Astor Collegiate Academy|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|Christopher Columbus GED|Christopher Columbus YABC|925 ASTOR AVENUE CONSOLIDATED LOCATION,2,6,24,4,3,9C,1751-2000,1.35,4.73,18.5,2.46,2.92
1853,X420,12X388,PAN AMERICAN INTERNATIONAL HS@MONROE(XE),X388,1300 BOYNTON AVENUE,X,12,381,1300 BOYNTON AVENUE CONSOLIDATED LOCATION,4,Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures||Monroe Academy for Business and Law|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1854,X420,12X521,THE METROPOLITAN SOUNDVIEW HS(XE),X521,1300 BOYNTON AVENUE,X,12,324,1300 BOYNTON AVENUE CONSOLIDATED LOCATION,4,Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures||Monroe Academy for Business and Law|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1855,X420,12X428,MONROE ACADEMY FOR BUSINESS & LAW(XE) ,X428,1300 BOYNTON AVENUE,X,12,115,1300 BOYNTON AVENUE CONSOLIDATED LOCATION,4,Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures||Monroe Academy for Business and Law|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
1856,X420,12X550,HS OF WORLD CULTURES(XE),X550,1300 BOYNTON AVENUE,X,12,374,1300 BOYNTON AVENUE CONSOLIDATED LOCATION,4,Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures||Monroe Academy for Business and Law|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1857,X420,,1300 BOYNTON AVENUE CONSOLIDATED LOCATION,,1300 BOYNTON AVENUE,X,12,1194,1300 BOYNTON AVENUE CONSOLIDATED LOCATION,4,Pan American International High School at Monroe|The Metropolitan Soundview High School|High School of World Cultures||Monroe Academy for Business and Law|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,1,2,13,0,3,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
1858,X423,12X242,MOTT HALL V(XE) ,X242,1551 East 172 St.,X,12,585,1551 East 172 St. CONSOLIDATED LOCATION,2,Mott Hall V |  THE CINEMA SCHOOL |  1551 EAST 172ND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
1859,X423,12X478,THE CINEMA SCHOOL(BRONX),X478,1551 East 172 St.,X,12,230,1551 East 172 St. CONSOLIDATED LOCATION,2,Mott Hall V |  THE CINEMA SCHOOL |  1551 EAST 172ND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
1860,X423,,1551 EAST 172ND STREET CONSOLIDATED LOCATION,,1551 EAST 172ND STREET,X,12,815,1551 EAST 172ND STREET CONSOLIDATED LOCATION,2,Mott Hall V |  THE CINEMA SCHOOL |  1551 EAST 172ND STREET CONSOLIDATED LOCATION,0,2,5,1,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
1861,X425,11X253,BRONX HS FOR WRITING & COMMUNICATION ARTS(XE),X253,800 EAST GUN HILL ROAD,X,11,253,800 EAST GUN HILL ROAD CONSOLIDATED LOCATION,8,Bronx High School for Writing and Communication Arts |  Bronx Lab School |  High School of Computers and Technology |  Bronx Academy of Health Careers |High School for Contemporary Arts |  Bronx Aerospace High School | EVANDER CHILDS EVENING H.S.  |800 EAST GUN HILL ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1862,X425,11X265,BRONX LAB SCHOOL(XE),X265,800 EAST GUN HILL ROAD,X,11,332,800 EAST GUN HILL ROAD CONSOLIDATED LOCATION,8,Bronx High School for Writing and Communication Arts |  Bronx Lab School |  High School of Computers and Technology |  Bronx Academy of Health Careers |High School for Contemporary Arts |  Bronx Aerospace High School | EVANDER CHILDS EVENING H.S.  |800 EAST GUN HILL ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
1863,X425,11X275,HS OF COMPUTERS & TECHNOLOGY(XE) ,X275,800 EAST GUN HILL ROAD,X,11,456,800 EAST GUN HILL ROAD CONSOLIDATED LOCATION,8,Bronx High School for Writing and Communication Arts |  Bronx Lab School |  High School of Computers and Technology |  Bronx Academy of Health Careers |High School for Contemporary Arts |  Bronx Aerospace High School | EVANDER CHILDS EVENING H.S.  |800 EAST GUN HILL ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
